Site Name,X-coordinate,Y-coordinate
Milton Keynes Waste Recovery Park,481336.0,241639.0
Rookery South,501063.0,242971.0
Sinfin Lane,435118.0,332969.0
Twinwoods Heat & Power CHP,503240.0,256004.0
Dunbar EfW (previously Oxwellmains EfW),371051.0,675563.0
Great Blakenham EfW,612295.0,249597.0
Javelin Park EfW,380048.0,210468.0
Newhurst Quarry,448680.0,317986.0
Parc Adfer EfW,331063.0,371586.0
EnviRecover,385577.0,269836.0
Avonmouth Resource Recovery Centre (formerly Severn Road),353850.0,181366.0
Birmingham Bio-Power Plant,410850.0,284950.0
Avonmouth Low Carbon Energy Facility - Phase 2,352153.0,179196.0
Fawley Waste to Energy Plant,443772.0,105625.0
Portsmouth ERF,466716.0,102919.0
Fen Farm Solar Park,537585.0,393825.0
Manor Farm,198260.0,52426.0
Nanterrow Farm,159822.0,40754.0
Howton Farm,238063.0,62770.0
East Langford Farm,229318.0,110657.0
Trevemper solar farm,181946.0,59506.0
Chester Energy (East Woolley Farm),225352.0,116729.0
Chynoweth Farm,180663.0,49493.0
Carlton Farm Solar farm,629186.0,328437.0
Wheal Jane,177412.0,42176.0
Cantelupe Solar Farm,541469.0,254668.0
Benbole Farm,202931.0,74850.0
Langage Solar Farm,257294.0,56289.0
Grange Solar Farm,479603.0,348537.0
Ebbsfleet Farm Solar Farm,633253.0,162715.0
Westcott Venture Park Phase 2 & 3,472035.0,216827.0
Summerway Drove,332514.0,136379.0
Puriton Solar Farm,332462.0,142273.0
Toyota Solar Farm,428727.0,331153.0
Long Sutton Butterfly And Wildlife Park,544055.0,323522.0
Long Sutton Butterfly And Wildlife Park (extension),544125.0,323559.0
Springhill Solar Park (Northwick),413653.0,235615.0
Westmill Farm - PV,424744.0,191164.0
Rhosygilwen Solar Farm,220298.0,240670.0
Llancayo Solar Farm,336790.0,203067.0
Shacks Barn Solar Farm,468260.0,245328.0
Carines Farm Solar Array,178921.0,58340.0
Trigon Solar Farm,387816.0,90139.0
